 Desplazamiento Bala, Velocidad Bala, Estatus, -354 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -340 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -325 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -311 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -297 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -283 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -269 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -255 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -241 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -227 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -212 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -198 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -184 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -170 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -156 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -142 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -128 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -113 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -99 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -85 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -71 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -57 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -43 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -29 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -15 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 0 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 14 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 28 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 42 -424 0,1
